645	heic1711a	Abell 370	Abell 370	Frontier Fields Cluster	The last of the Frontier Fields — Abell 370
647	potw1717a	NGC 7250	TYC 3203-450-1	Galaxy Portrait	A matter of distance
649	potw1713a	NGC 4424 / LEDA 213994	The NGC and its modern counterpart	Galaxy Portrait	The NGC and its modern counterpart
655	potw1702a	J1140.1+0307	RX J1140.1+0307	Active Galaxy	A black hole of puzzling lightness
659	potw1650a	IC 5201 / LEDA 27893	A closer look at IC 5201	Galaxy Portrait	A closer look at IC 5201
660	potw1648a	IC 3583	Spotlight on IC 3583	Galaxy Portrait	Spotlight on IC 3583
661	potw1647a	NGC 3274	NGC 3274	Galaxy Portrait	Hubble spies NGC 3274
665	heic1523b	MACS J0717.5+3745	Frontier Fields of MACSJ0717.5+3745	Galaxy Cluster	Hubble Frontier Fields view of MACSJ0717.5+3745
667	heic1519a	SpARCS1049+56, SpARCS1049	SpARCS1049+56	Galaxy Cluster	Image of the galaxy cluster SpARCS1049
668	opo1522a	EGS-zs8-1	EGS-zs8-1	Galaxy Portrait	Astronomers set a new galaxy distance record
669	potw1518a	NGC 949	The peculiar asymmetry of NGC 949	Galaxy Portrait	The peculiar asymmetry of NGC 949
676	sci14011a	Abell 2744	Abell 2744	Galaxy Cluster	Frontier Fields: Abell 2744 and “blank” field comparison
679	potw1426a	NGC 201 / HCG 7	HCG 7	Galaxy Portrait	A fossil in the making
683	heic1408a	CLASS B1608+656	CLASS B1608+656	Galaxy Portrait	Hubble’s cross-section of the cosmos
685	opo1417a	Abell 2744	Abell 2744	Galaxy Cluster	Distant galaxy in Hubble Frontier Field Abell 2744
687	hs-2013-44a	Abell 2744 / MACS J0416.1-2403 / MACS J0717.5+3745 / MACS J1149+2223	Abell 2744	Galaxy Cluster	Galaxy clusters targeted by Hubble's Frontier Fields
688	heic1319a	J1000+0221	J1000+0221	Gravitational Lens	The most distant gravitational lens yet discovered
689	potw1341a	NGC 3621	NGC 3621	Spiral Galaxy	A special spiral galaxy for over 200 000 Facebook fans
690	heic1318a	PGC 6240	of PGC 6240	Galaxy Portrait	Hubble image of PGC 6240
691	potw1336a	ESO 540-31	DDO 6	Galaxy Portrait	A flock of stars
696	heic1311a	NGC 2936 / NGC 2937 / Arp 142	of Arp 142	Galaxy Portrait	Hubble image of Arp 142
697	potw1324a	M 61	Messier 61 looks straight into the camera	Galaxy Portrait	Messier 61 looks straight into the camera
700	potw1320a	J125013.50+073441.5	J125013.50+073441.5	Galaxy Portrait	A swirl of star formation
701	potw1314a	NGC 2768	Dusty detail in elliptical galaxy NGC 2768	Elliptical Galaxy	Dusty detail in elliptical galaxy NGC 2768
703	potw1310a	II Zw 28, VV 790b	II Zw 28	Galaxy Portrait	One ring to rule them all
707	potw1304a	2MASX J09442693+0429569	2MASX J09442693+0429569	Galaxy Portrait	The moment the lights went out
708	potw1302a	Abell 3627 / ESO 137-002	Abell 3627	Galaxy Cluster	A busy patch of the Great Attractor
711	potw1252a	NGC 1097	NGC 1097	Galaxy Portrait	A wanderer dancing the dance of stars and space
712	potw1249a	ESO 318-13	ESO 318-13	Galaxy Portrait	Glitter galaxy — An edge-on view of the ESO 318-13 galaxy
713	heic1217c	MACS J0647.7+7015	MCS J0647.7+7015	Galaxy Cluster	Galaxy cluster MACS J0647.7+7015
715	opo0639a	1ES 0657-55.8, 1E 0657-556	1ES 0657-55.8	Galaxy Cluster	Visible-light and x-ray composite image of galaxy cluster 1E 0657-556
716	heic1216a	Abell 2261 / 2MASX J17222717+3207571	2MASX J17222717+3207571	Galaxy Cluster	Brightest galaxy in Abell 2261
719	potw1237a	NGC 7090	NGC 7090 — An actively star-forming galaxy	Galaxy Portrait	NGC 7090 — An actively star-forming galaxy
720	heic1213b	M 60 / NGC 4647 / NGC 4649 / Arp 116	2002 LM60	Galaxy Portrait	Ground-based image of Arp 116 and its surroundings
721	heic1213a	M 60 / NGC 4647 / NGC 4649 / Arp 116	of galaxy pair Arp 116	Galaxy Pair	Hubble image of galaxy pair Arp 116
722	potw1235a	NGC 5806	SN 2004dg	Supernova Host Galaxy	Spotting a supernova in NGC 5806
723	potw1233a	UGC 9240	DDO 190	Galaxy Portrait	A lonely galactic island
736	opo0509a	NGC 1427A	The impending destruction of NGC 1427A	Galaxy Portrait	The impending destruction of NGC 1427A
737	opo9842a	NGC 253 / IRAS 00450-2533	NGC 253 / IRAS 00450-2533	Galaxy Portrait	Behind a dusty veil lies a cradle of star birth
738	heic2213a	Abell 611	Abell 611	Galaxy Cluster	A Cosmic Cobweb
739	heic1419a	M 60	Artist’s concept of supermassive black hole within M60-UCD1	Active Galaxy	Artist’s concept of supermassive black hole within M60-UCD1
740	heic0810ap	NGC 6050 / IC 1179 / Arp 272	NGC 6050	Interacting Galaxies	NGC 6050
